Date,pm25,pm10,o3,no2,so2,co
2025-03-16,0,62,4,0,0,0
2025-03-17,0,67,5,0,0,0
2025-03-18,0,59,5,0,0,0
2025-03-19,0,94,6,0,1,0
2025-03-20,0,126,10,0,1,0
2025-03-21,0,100,15,0,0,0
2025-03-22,0,94,14,0,0,0
2025-03-27,0,61,9,0,0,0
2023-07-04,0,43,6,0,0,9
2023-05-02,0,51,8,0,0,6
2023-05-10,0,43,10,0,0,6
2023-05-19,0,68,8,0,0,12
2023-05-24,0,51,11,0,0,11
2023-05-29,0,56,24,0,0,11
2023-06-14,0,51,12,0,0,12
2023-06-19,0,50,12,0,0,9
2023-01-01,0,107,0,22,1,9
2023-01-07,0,83,0,39,1,4
2023-01-14,0,59,1,43,1,16
2023-01-28,0,112,2,24,1,14
2023-02-09,0,58,0,0,14,11
2023-03-09,0,102,10,0,0,11
2022-12-19,0,57,7,22,1,5
2022-12-24,0,98,1,32,1,16
2021-07-03,0,55,2,22,4,4
2021-07-09,0,51,4,20,2,5
2021-01-03,0,101,0,30,1,8
2020-08-22,0,52,1,22,3,11
2020-09-06,0,47,0,21,2,11
2025-03-23,0,0,15,0,0,0
2025-03-24,0,0,9,0,0,0
2025-03-25,0,0,8,0,0,0
2025-03-26,0,0,7,0,0,0
2021-10-01,0,0,1,0,0,6
2021-10-02,0,0,2,0,0,5
2021-10-03,0,0,2,0,0,6
2021-10-04,0,0,1,0,0,5
2021-10-05,0,0,2,0,0,8
2021-10-06,0,0,2,0,0,6
2021-09-26,0,0,1,0,0,15
2021-09-27,0,0,1,0,0,8
2021-09-28,0,0,2,0,0,6
2021-09-29,0,0,2,0,0,8
2021-09-30,0,0,1,0,0,6
